Country;Country Abbreviation;Cases;Country Risk Index;Short Term Political Risk;Long Term Political Risk;Short Term Economic Risk;Long Term Economic Risk;Operational Risk Index;Long-Term Issuer Default Rating Index;Unemployment (% of labour force);Population growth;GDP per head at market exchange rates (USD);Population % above 65 years old (2018);Women in Parliament%;Universal Health Care Coverage;Income Level
Egypt;EGY;41304;52,9;52,9;55,6;54,2;54,5;48,1;35;0,0985;0,0207;2856,24;0,052297793;0,253729639;1;2
Netherlands;NLD;46733;79,6;79,6;86,5;70,8;78,1;78,3;100;0,0384;0,0047;53197,51;0,191961926;0,313333333;2;4
Ecuador;ECU;46751;49,9;49,9;53,1;49,8;55,2;46,1;15;0,058;0,0173;6207,1;0,071572897;0,379562044;2;3
Colombia;COL;53063;57,9;57,9;61,7;58,3;61,2;52,1;55;0,099;0,0139;6432,38;0,08478047;0,187134503;2;3
Belgium;BEL;59029;70,1;70,1;80,2;61,5;70,5;71,4;85;0,0535;0,0056;45946,24;0,187887437;0,42;2;4
Belarus;BLR;61095;51,8;51,8;56,2;38,1;39,5;59;30;0,0041;-0,0002;6301,23;0,148451482;0,4;2;3
Qatar;QAT;71879;63,1;63,1;70,6;42,1;51,9;66,5;85;0,0012;0,0364;71085,5;0,013700703;0,097560976;1;4
South_Africa;ZAF;73533;55,3;55,3;61,3;44,4;56,2;52,3;45;0,2712;0,0168;6379,93;0,05318005;0,463476071;1;3
China;CHN;83754;68,3;68,3;66,4;71,7;74,4;58,8;80;0,0471;0,0047;9440,41;0,109208835;0,249411765;1;3
Canada;CAN;96233;79,5;79,5;92,3;68,5;73,1;75,9;100;0,058;0,0094;46341,05;0,172320067;0,289940828;2;4
Saudi_Arabia;SAU;119942;62,1;62,1;56,7;55,8;62,7;62,3;75;0,127;0,026;23418,07;0,03314088;0,198675497;1;4
Pakistan;PAK;139230;44,8;44,8;52,3;42,1;49,6;39,2;25;0,061;0,0194;1565,68;0,043127743;0,202346041;1;2
France;FRA;149071;73,7;73,7;80,6;67,5;75,6;71,5;90;0,091;0,0041;42625,78;0,200346247;0,396880416;2;4
Mexico;MEX;150264;58,7;58,7;58,3;59,4;65,3;52,2;60;0,0337;0,0132;9339,88;0,07223685;0,482;1;3
Bangladesh;BGD;159679;54,1;54,1;58,9;66;63;38,1;40;0,0438;0,0109;1723,14;0,051583906;0,206303725;1;2
Chile;CHL;167355;66;66;77,2;59,2;65,9;64,9;75;0,0694;0,0088;16338,45;0,115298017;0,225806452;2;4
Turkey;TUR;179831;55,5;55,5;55,3;48,5;58,4;56,1;40;0,137;0,0159;9142,39;0,084832129;0,174496644;2;3
Germany;DEU;180458;76,5;76,5;87,2;70,4;79,2;72;100;0,034;0,0024;48045,12;0,21461962;0,308885755;2;4
Italy;ITA;228658;65,9;65,9;75,3;60,6;67;63,7;60;0,106;-0,001;34931,48;0,227516796;0,357142857;2;4
Peru;PER;229736;58,8;58,8;62,2;65,4;66,6;49,3;65;0,054;0,0106;7087,24;0,080883928;0,3;1;3
Spain;ESP;239228;67,9;67,9;74,9;60,6;64,5;71,6;70;0,153;-0,0002;30414,37;0,193785075;0,44;2;4
United_Kingdom;GBR;255515;78,6;78,6;82,7;72,1;76,5;76,5;85;0,041;0,0072;42949,71;0,183958657;0,32;2;4
India;IND;320922;61,9;61,9;65,5;66;66,6;53,8;55;0,065;0,0115;2010,92;0,061799556;0,143911439;1;2
Russia;RUS;528964;63,8;63,8;61,7;69,2;70,1;58,1;60;0,048;0,0044;11291,76;0,146747083;0,253729639;2;3
Brazil;BRA;802828;57,1;57,1;68,9;51,9;61;50;40;0,1225;0,0083;8857,55;0,089228378;0,150097466;2;3
